高级python工程师,18:41发布,字节跳动,40k-60k,经验3-5年 ,本科,[北京·海淀区],后端开发,“六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资”,移动互联网,数据服务 / C轮
Python开发工程师,1天前发布,武汉佰钧成技术有限公司,11k-18k,经验1-3年 ,本科,[广州·天河区],带薪年假,计算机软件,管理规范,定期体检,“大平台,加班少,成长快,学院派”,移动互联网 / 不需要融资
Python,2天前发布,有利网,30k-40k,经验3-5年 ,本科,[北京·三元桥],php,MySQL,“五险一金,扁平化管理,地铁周边,团建”,金融 / 不需要融资
Python开发工程师,2天前发布,极光,15k-30k,经验不限 ,本科,[深圳·南头],云计算,flask,JavaScript,django,“五险一金、14薪/年、下午茶、工作餐等等”,移动互联网,数据服务 / D轮及以上
Python工程师,2天前发布,Face++,20k-40k,经验1-3年 ,本科,[北京·海淀区],中级,后端,django,“技术驱动,极客氛围,大牛团队”,移动互联网,硬件 / C轮
Python研发工程师,2天前发布,好巧,25k-35k,经验3-5年 ,大专,[北京·亚运村],后端开发,Java,golang,“商业保险,弹性工作,零食水果,扁平管理”,数据服务 / B轮
Python开发工程师,1天前发布,新炬网络,8k-15k,经验1-3年 ,大专,[广州·天河区],云计算,软件开发,运维,“平台大,发展前景好,五险一金,周末双休”,移动互联网,数据服务 / 未融资
Python 开发工程师,2天前发布,知乎,18k-36k,经验1-3年 ,本科,[北京·五道口],信息安全,Java,web,“健康三餐 免费健身游泳 大牛团队”,移动互联网,社交网络 / D轮及以上
Python开发工程师,2天前发布,微车,10k-18k,经验3-5年 ,本科,[北京·万柳],中级,服务器端,MySQL,redis,“一日三餐,六险一金,14薪,定期团建”,移动互联网,O2O / C轮
Python开发,2天前发布,有鱼金融科技,15k-30k,经验3-5年 ,本科,[上海·漕河泾],金融,爬虫,Java,Ruby,体育,“行业前三,亿级平台,极客团队,无限发挥”,移动互联网,金融 / 不需要融资
Python开发工程师,2天前发布,华云数据,25k-30k,经验3-5年 ,本科,[上海·五角场],云计算,Java,Ruby,OpenStack,golang,“绩效奖金 年终奖金 交通补贴 餐饮补贴”,移动互联网,数据服务 / D轮及以上
Python开发工程师,2天前发布,博派通达,15k-30k,经验3-5年 ,不限,[北京·小关],web,“不限量零食,福利多多,年终奖,办公环境好”,移动互联网,硬件 / A轮
Python开发工程师,16:23发布,瓜子二手车直卖网,20k-40k,经验3-5年 ,本科,[北京·上地],高级,中级,初级,php,Java,“最高19薪 独角兽公司 学习型团队”,O2O / C轮
Python工程师,2天前发布,卖座网,10k-20k,经验3-5年 ,本科,[深圳·科技园],高级,中级,linux,数据挖掘,算法,“大数据、人工智能”,移动互联网,电子商务 / B轮
python开发工程师,3天前发布,绿盟科技,8k-10k,经验3-5年 ,本科,[西安·雁塔区],信息安全,Java,“五险一金；弹性工作；餐补；定期体检”,信息安全 / 上市公司
Python开发工程师,1天前发布,猎户星空,18k-35k,经验3-5年 ,本科,[北京·团结湖],智能硬件,php,Java,后端,“牛人云集，优质福利”,移动互联网,硬件 / A轮
python软件开发工程师,2天前发布,武汉佰钧成技术有限公司,6k-12k,经验不限 ,本科,[武汉·东湖新…],云计算,linux,“产品研发”,移动互联网 / 不需要融资
Python开发师,2天前发布,问卷网@爱调研,15k-30k,经验3-5年 ,本科,[上海·徐汇区],Java,redis,架构,“五险一金,季度旅游,节日福利,带薪年假”,移动互联网 / B轮
Python开发工程师,10:03发布,朝霞科技,8k-12k,经验1-3年 ,大专,[无锡·梁溪区],大数据,MySQL,爬虫,“高成长”,移动互联网 数据服务 / 未融资
Python开发工程师,1天前发布,新炬网络,10k-15k,经验1-3年 ,大专,[深圳·莲花二…],Java,“平台大,发展前景好,五险一金,资深团队”,移动互联网,数据服务 / 未融资
Python开发工程师,2天前发布,学堂在线,20k-35k,经验3-5年 ,本科,[北京·五道口],资深,高级,linux,Java,“五险一金,餐补,生日会,优秀团队”,移动互联网,教育 / B轮
Python开发工程师,2天前发布,奥飞游戏深圳分公司,8k-12k,经验1-3年 ,大专,[深圳·南山区],linux,php,运维,“靠谱团队,项目给力,福利多多”,游戏 / A轮
python软件开发工程师,14:44发布,mioto喵图,15K-30K,15K-30K
经验1-3年 ,本科,[北京·北京大…],中级,二次开发,“技术骚,工程大,项目牛,很有挑战性”,移动互联网 企业服务 / A轮
量化平台研发工程师-python,1天前发布,经传多赢,15k-25k,经验3-5年 ,本科,[广州·东环],资深,架构师,php,Java,“技术大牛多,扁平管理,快速兑现”,移动互联网,金融 / 不需要融资
Python 开发工程师,1天前发布,H3C,10k-18k,经验3-5年 ,本科,[杭州·长河],云计算,node.js,后端,“云计算领域,教育信息化”,移动互联网,信息安全 / 上市公司
python工程师,2天前发布,好巧,15k-30k,经验3-5年 ,本科,[北京·亚运村],web后台,“带薪年假,六险一金,弹性工作,股票期权”,数据服务 / B轮
python 开发工程师,3天前发布,1Token.Trade,10k-20k,经验1-3年 ,本科,[上海·长阳路],金融,php,Java,分布式,“时间自由,技术先进,区块链”,移动互联网,金融 / A轮
python开发工程师,09:24发布,燃网络,4k-6k,经验不限 ,大专,[苏州·石路],大数据,算法,深度学习,机器学习,“五险一金,周末双休,提供住宿,年底双薪”,移动互联网,游戏 / 未融资
Python开发工程师,2天前发布,布谷鸟科技,20k-25k,经验5-10年 ,本科,[深圳·南山区],高级,php,爬虫,架构,django,“五险一金,绩效奖金,技术大牛多,团队年轻化”,电子商务,移动互联网 / 不需要融资
Python开发工程师,2天前发布,苏州锦佰安,15k-30k,经验3-5年 ,本科,[北京·上地],linux,“人工智能,前景广阔,福利齐全,技术领先”,信息安全 / 天使轮
Python开发工程师,10:17发布,达观数据,8k-15k,经验1-3年 ,本科,[上海·浦东新…],C/C++,Java,“六险一金,12天年假,专业培训,专业提升”,移动互联网 / B轮
python开发,2天前发布,武汉佰钧成技术有限公司,10K-20K,10K-20K
经验3-5年 ,大专,[杭州·西湖区],云计算,软件开发,大数据,MySQL,架构,“项目大,平台优,技术新,发展好”,移动互联网 / 不需要融资
Python软件开发工程师,2天前发布,瞬联软件科技（北京）有限公司,10k-15k,经验1-3年 ,本科,[上海·北新泾],linux,后端开发,通信,“五险一金,带薪年假,弹性工作,氛围自由”,移动互联网 ,企业服务 / 不需要融资
python开发,2天前发布,金证股份,10k-15k,经验3-5年 ,大专,[北京·亮马桥],linux,MySQL,“上市公司,项目大,福利多多,周末双休”,金融 / 上市公司
Python开发工程师,2天前发布,知乎,15k-30k,经验3-5年 ,本科,[北京·五道口],高级,Java,架构,“薪资优厚、氛围宽松、每日三餐、六险一金”,移动互联网,社交网络 / D轮及以上
Python AI工程师,1天前发布,南方网通,20k-25k,经验3-5年 ,本科,[深圳·南头],旅游,大数据,数据挖掘,Java,算法,“五险一金,提供住宿,员工旅游”,电子商务、广告营销 / 天使轮
Python 开发工程师,2天前发布,竹间智能科技(上海)有限公司,20k以上,以上
